replacement,original
account,acct
administrator,admin
architect,arch
assistant,asst
business analyst,ba
business development,biz dev
business development,bus dev
business development,bizdev
business intelligence,bi
software developer,c
cad,computer aided design
certified public accountant,cpa
chief executive officer,ceo
chief financial officer,cfo
chief information officer,cio
chief marketing officer,cmo
chief operating officer,coo
chief technology officer,cto
database administrator,dba
database engineer,dbe
developer,dev
director,dir
district,dist
environmental health safety,ehs
environmental health safety,hse
executive,exec
finance,fin
financial planning and analysis,fpa
general counsel,gc
general manager,gm
government,gov
health information technology,hit
human resources information system,hris
human resources,hr
human resources,human resource
information technology,it
international,intl
licensed practical nurse,lpn
licensed vocational nurse,lvn
management,mngmnt
management,mgmt
manager,mgr
marketing,mktg
national,natl
operations,ops
pharmaceutical,pharma
president,pres
project,proj
public relations,pr
quality control,qc
quality assurance,qa
registered nurse,rn
representative,rep
sales,sls
senior,sr
senior vice president,svp
services,svcs
superintendent,supt
technology,tech
user experience,ux
user interaction,ui
vice president,vp
web developer,html
java developer,java
sales professional,sales
j2ee developer,j2ee
net developer,net
software developer,spring
project manager,project management
software developer,javascript
java developer,hibernate
business development manager,business development
asp.net developer,asp.net
accountant,accounting
business analyst,business analysis
web developer,css
outside sales representative,outside sales
software developer,mvc
recruiter,staffing
recruiter,recruiting
python developer,python
recruiter,talent acquisition
ios developer,ios
android developer,android
project manager,pmo
web developer,jquery
java developer,core java
java developer,struts
software developer,rest
cpa,tax
etl developer,etl
software developer,xml
tester,testing
informatica developer,informatica
software developer,jsp
marketing professional,marketing
software developer,linux
inside sales representative,inside sales
account manager,account
software developer,unix
systems engineer,active directory
software developer,ssis
sales representative,cold calling
php developer,php
tester,test
salesforce developer,salesforce
customer service representative,customer service
software developer,soap
ruby developer,ruby
software developer,perl
web developer,html5
help desk support,desktop support
help desk support,help desk
sharepoint administrator,sharepoint admin
recruiter,talent
release manager,release management
dba,database admin
dba,database administration
net developer,dot net developer
net developer,dotnet developer
mechanical engineer,mechanical design
cpa,public accounting
ios developer,xcode
engineer,engineering
sales representative,b2b
sales representative,business to business
customer service representative,call center
software developer,web services
consultant,consulting
ruby on rails developer,ruby on rails
security engineer,security
security engineer,cissp
security engineer,cisa
network engineer,network
research,r
development,d
software development engineer tester,sdet
system application product,sap
business application programming,abap
